[19:52:33] [INFO] received Windows console close event; shutting log-core down
[19:54:46] [INFO] received Windows console close event; shutting log-core down
[19:56:34] [INFO] received Windows console close event; shutting log-core down
[19:58:34] [INFO] received Windows console close event; shutting log-core down
[20:01:19] [INFO] received Windows console close event; shutting log-core down
[20:02:35] [INFO] received Windows console close event; shutting log-core down
[20:05:41] [INFO] received Windows console close event; shutting log-core down
[12:04:05] [INFO] received Windows console close event; shutting log-core down
[12:13:13] [INFO] received Windows console close event; shutting log-core down
[15:12:13] [INFO] received Windows console close event; shutting log-core down
[15:25:28] [INFO] received Windows console close event; shutting log-core down
[16:00:05] [INFO] received Windows console close event; shutting log-core down
[16:10:51] [INFO] received Windows console close event; shutting log-core down
[16:12:28] [INFO] received Windows console close event; shutting log-core down
[16:18:10] [INFO] received Windows console close event; shutting log-core down
[16:25:56] [INFO] received Windows console close event; shutting log-core down
[22:54:55] [INFO] received Windows console close event; shutting log-core down
[23:05:23] [INFO] received Windows console close event; shutting log-core down
[23:24:04] [INFO] received Windows console close event; shutting log-core down
[23:31:40] [INFO] received Windows console close event; shutting log-core down
[14:34:49] [INFO] received Windows console close event; shutting log-core down
[15:00:01] [INFO] received Windows console close event; shutting log-core down
[15:02:07] [INFO] received Windows console close event; shutting log-core down
[15:02:56] [INFO] received Windows console close event; shutting log-core down
[15:05:14] [INFO] received Windows console close event; shutting log-core down
[15:06:10] [INFO] received Windows console close event; shutting log-core down
[15:09:28] [INFO] received Windows console close event; shutting log-core down
[15:30:24] [INFO] received Windows console close event; shutting log-core down
[15:32:12] [INFO] received Windows console close event; shutting log-core down
[15:38:30] [INFO] received Windows console close event; shutting log-core down
[15:39:23] [INFO] received Windows console close event; shutting log-core down
[15:41:33] [INFO] received Windows console close event; shutting log-core down
[17:15:56] [INFO] received Windows console close event; shutting log-core down
[17:20:00] [INFO] received Windows console close event; shutting log-core down
[17:31:34] [INFO] received Windows console close event; shutting log-core down
[17:32:48] [INFO] received Windows console close event; shutting log-core down
[17:34:52] [INFO] received Windows console close event; shutting log-core down
[17:36:19] [INFO] received Windows console close event; shutting log-core down
[17:43:53] [INFO] received Windows console close event; shutting log-core down
[17:50:57] [INFO] received Windows console close event; shutting log-core down
[17:52:04] [INFO] received Windows console close event; shutting log-core down
[17:53:40] [INFO] received Windows console close event; shutting log-core down
[17:54:51] [INFO] received Windows console close event; shutting log-core down
[17:56:31] [INFO] received Windows console close event; shutting log-core down
[17:56:58] [INFO] received Windows console close event; shutting log-core down
[18:00:12] [INFO] received Windows console close event; shutting log-core down
[18:01:16] [INFO] received Windows console close event; shutting log-core down
[18:14:01] [INFO] received Windows console close event; shutting log-core down
[18:14:56] [INFO] received Windows console close event; shutting log-core down
[18:19:53] [INFO] received Windows console close event; shutting log-core down
[18:46:33] [INFO] received Windows console close event; shutting log-core down
[19:32:51] [INFO] received Windows console close event; shutting log-core down
[11:31:53] [INFO] received Windows console close event; shutting log-core down
[11:31:53] [INFO] received Windows console close event; shutting log-core down
[12:04:34] [INFO] received Windows console close event; shutting log-core down
[12:13:38] [INFO] received Windows console close event; shutting log-core down
[12:18:57] [INFO] received Windows console close event; shutting log-core down
[12:36:09] [INFO] received Windows console close event; shutting log-core down
[12:38:24] [INFO] received Windows console close event; shutting log-core down
[12:43:17] [INFO] received Windows console close event; shutting log-core down
[15:27:53] [INFO] received Windows console close event; shutting log-core down
[16:02:47] [INFO] received Windows console close event; shutting log-core down
[16:05:53] [INFO] received Windows console close event; shutting log-core down
[16:08:09] [INFO] received Windows console close event; shutting log-core down
[23:30:16] [INFO] received Windows console close event; shutting log-core down
[11:08:03] [INFO] received Windows console close event; shutting log-core down
[15:40:46] [INFO] received Windows console close event; shutting log-core down
[15:45:01] [INFO] received Windows console close event; shutting log-core down
[15:56:11] [INFO] received Windows console close event; shutting log-core down
[17:15:49] [INFO] received Windows console close event; shutting log-core down
[18:08:27] [INFO] received Windows console close event; shutting log-core down
[18:08:47] [INFO] received Windows console close event; shutting log-core down
[18:17:15] [INFO] received Windows console close event; shutting log-core down
[18:19:34] [INFO] received Windows console close event; shutting log-core down
[18:20:55] [INFO] received Windows console close event; shutting log-core down
[22:39:28] [INFO] received Windows console close event; shutting log-core down
[22:43:39] [INFO] received Windows console close event; shutting log-core down
[22:46:01] [INFO] received Windows console close event; shutting log-core down
[22:51:14] [INFO] received Windows console close event; shutting log-core down
[22:55:58] [INFO] received Windows console close event; shutting log-core down
[22:11:06] [INFO] received Windows console close event; shutting log-core down
[22:57:11] [INFO] received Windows console close event; shutting log-core down
[22:59:22] [INFO] received Windows console close event; shutting log-core down
[23:06:20] [INFO] received Windows console close event; shutting log-core down
[23:08:46] [INFO] received Windows console close event; shutting log-core down
[23:16:17] [INFO] received Windows console close event; shutting log-core down
[07:58:01] [INFO] received Windows console close event; shutting log-core down
[07:58:17] [INFO] received Windows console close event; shutting log-core down
[07:59:59] [INFO] received Windows console close event; shutting log-core down
[08:00:20] [INFO] received Windows console close event; shutting log-core down
[08:00:57] [INFO] received Windows console close event; shutting log-core down
[08:01:46] [INFO] received Windows console close event; shutting log-core down
[08:04:07] [INFO] received Windows console close event; shutting log-core down
[08:04:54] [INFO] received Windows console close event; shutting log-core down
[08:12:57] [INFO] received Windows console close event; shutting log-core down
[08:13:53] [INFO] received Windows console close event; shutting log-core down
[18:12:01] [INFO] received Windows console close event; shutting log-core down
[18:23:34] [INFO] received Windows console close event; shutting log-core down
[18:36:54] [INFO] received Windows console close event; shutting log-core down
[18:38:49] [INFO] received Windows console close event; shutting log-core down
[18:50:58] [INFO] received Windows console close event; shutting log-core down
[18:58:32] [INFO] received Windows console close event; shutting log-core down
[19:01:07] [INFO] received Windows console close event; shutting log-core down
